PDBID,MUTATION,TS,POTENTIAL
2BYG,B2838Y,0,404799.5093
2BYG,B2838Y,1,399911.6878
2BYG,B2838Y,2,395065.2080
2BYG,B2838Y,3,390260.0748
2BYG,B2838Y,4,385496.2447
2BYG,B2838Y,5,380773.5976
2BYG,B2838Y,6,376092.0561
2BYG,B2838Y,7,371452.0270
2BYG,B2838Y,8,366855.1669
2BYG,B2838Y,9,362305.1000
2BYG,B2838Y,10,357807.9499
2BYG,B2838Y,11,353373.4863
2BYG,B2838Y,12,348904.6548
2BYG,B2838Y,13,344682.4478
2BYG,B2838Y,14,340642.4796
2BYG,B2838Y,15,336845.6701
2BYG,B2838Y,16,333323.9809
2BYG,B2838Y,17,330029.1598
2BYG,B2838Y,18,326858.8879
2BYG,B2838Y,19,323746.8991
2BYG,B2838Y,20,320676.4175
2BYG,B2838Y,21,317646.8487
2BYG,B2838Y,22,314659.5692
2BYG,B2838Y,23,311715.4083
2BYG,B2838Y,24,308813.9667
2BYG,B2838Y,25,305953.2465
2BYG,B2838Y,26,303129.6361
2BYG,B2838Y,27,300338.3479
2BYG,B2838Y,28,297574.0405
2BYG,B2838Y,29,294831.6336
2BYG,B2838Y,30,292106.7958
2BYG,B2838Y,31,289396.1830
2BYG,B2838Y,32,286697.3864
2BYG,B2838Y,33,284008.7817
2BYG,B2838Y,34,281329.3094
2BYG,B2838Y,35,278658.2139
2BYG,B2838Y,36,275995.0043
2BYG,B2838Y,37,273339.5467
2BYG,B2838Y,38,270692.0844
2BYG,B2838Y,39,268053.1064
2BYG,B2838Y,40,265423.2889
2BYG,B2838Y,41,262804.0090
2BYG,B2838Y,42,260197.3689
2BYG,B2838Y,43,257603.1112
2BYG,B2838Y,44,255009.6295
2BYG,B2838Y,45,252386.1094
2BYG,B2838Y,46,249701.8635
2BYG,B2838Y,47,246964.7872
2BYG,B2838Y,48,244207.4021
2BYG,B2838Y,49,241450.0624
2BYG,B2838Y,50,238699.8767
2BYG,B2838Y,51,235959.4426
2BYG,B2838Y,52,233230.5333
2BYG,B2838Y,53,230514.3615
2BYG,B2838Y,54,227809.8054
2BYG,B2838Y,55,225108.8027
2BYG,B2838Y,56,222392.6469
2BYG,B2838Y,57,219655.7153
2BYG,B2838Y,58,216960.3156
2BYG,B2838Y,59,214280.9209
2BYG,B2838Y,60,211609.8216
2BYG,B2838Y,61,208991.7346
2BYG,B2838Y,62,206492.1935
2BYG,B2838Y,63,204122.6376
2BYG,B2838Y,64,201873.3967
2BYG,B2838Y,65,199707.1219
2BYG,B2838Y,66,197575.8530
2BYG,B2838Y,67,195449.1013
2BYG,B2838Y,68,193318.9989
2BYG,B2838Y,69,191188.7736
2BYG,B2838Y,70,189063.9071
2BYG,B2838Y,71,186948.8207
2BYG,B2838Y,72,184847.6620
2BYG,B2838Y,73,182763.1247
2BYG,B2838Y,74,180697.0497
2BYG,B2838Y,75,178650.6977
2BYG,B2838Y,76,176625.0065
2BYG,B2838Y,77,174620.7301
2BYG,B2838Y,78,172638.5054
2BYG,B2838Y,79,170678.7953
2BYG,B2838Y,80,168741.7540
2BYG,B2838Y,81,166830.0923
2BYG,B2838Y,82,164935.8375
2BYG,B2838Y,83,163060.3761
2BYG,B2838Y,84,161206.0290
2BYG,B2838Y,85,159374.8305
2BYG,B2838Y,86,157568.3101
2BYG,B2838Y,87,155787.1116
2BYG,B2838Y,88,154030.7834
2BYG,B2838Y,89,152297.8180
2BYG,B2838Y,90,150585.8562
2BYG,B2838Y,91,148891.8180
2BYG,B2838Y,92,147212.3152
2BYG,B2838Y,93,145544.9811
2BYG,B2838Y,94,143890.5002
2BYG,B2838Y,95,142253.0834
