PDBID,MUTATION,TS,POTENTIAL
MBDLG2HB010,B2838Y,0,124172.9443
MBDLG2HB010,B2838Y,1,120863.3117
MBDLG2HB010,B2838Y,2,117640.3167
MBDLG2HB010,B2838Y,3,114503.3704
MBDLG2HB010,B2838Y,4,111451.5193
MBDLG2HB010,B2838Y,5,108482.9382
MBDLG2HB010,B2838Y,6,105593.5476
MBDLG2HB010,B2838Y,7,102999.0532
MBDLG2HB010,B2838Y,8,100446.6216
MBDLG2HB010,B2838Y,9,97945.8671
MBDLG2HB010,B2838Y,10,95512.1972
MBDLG2HB010,B2838Y,11,93163.5850
MBDLG2HB010,B2838Y,12,90919.1664
MBDLG2HB010,B2838Y,13,89020.4671
MBDLG2HB010,B2838Y,14,86972.4068
MBDLG2HB010,B2838Y,15,85183.0188
MBDLG2HB010,B2838Y,16,83024.1697
MBDLG2HB010,B2838Y,17,81270.4716
MBDLG2HB010,B2838Y,18,79582.3637
MBDLG2HB010,B2838Y,19,77752.7656
MBDLG2HB010,B2838Y,20,76156.0651
MBDLG2HB010,B2838Y,21,74673.6526
MBDLG2HB010,B2838Y,22,73020.6771
MBDLG2HB010,B2838Y,23,71400.4636
MBDLG2HB010,B2838Y,24,68842.8695
MBDLG2HB010,B2838Y,25,67429.1341
MBDLG2HB010,B2838Y,26,66071.4523
MBDLG2HB010,B2838Y,27,64743.5429
MBDLG2HB010,B2838Y,28,63438.6278
MBDLG2HB010,B2838Y,29,62155.6338
MBDLG2HB010,B2838Y,30,60894.1092
MBDLG2HB010,B2838Y,31,59653.6250
MBDLG2HB010,B2838Y,32,58433.8039
MBDLG2HB010,B2838Y,33,57234.3623
MBDLG2HB010,B2838Y,34,56054.8540
MBDLG2HB010,B2838Y,35,54894.9196
MBDLG2HB010,B2838Y,36,53754.2075
MBDLG2HB010,B2838Y,37,52632.3931
MBDLG2HB010,B2838Y,38,51531.3888
MBDLG2HB010,B2838Y,39,50448.5522
MBDLG2HB010,B2838Y,40,49383.5307
MBDLG2HB010,B2838Y,41,48336.0073
MBDLG2HB010,B2838Y,42,47305.6873
MBDLG2HB010,B2838Y,43,46292.2953
MBDLG2HB010,B2838Y,44,45295.5818
MBDLG2HB010,B2838Y,45,44315.3945
MBDLG2HB010,B2838Y,46,43351.9648
MBDLG2HB010,B2838Y,47,42406.3600
MBDLG2HB010,B2838Y,48,41479.1609
MBDLG2HB010,B2838Y,49,40563.3137
MBDLG2HB010,B2838Y,50,39644.5896
MBDLG2HB010,B2838Y,51,38741.4577
MBDLG2HB010,B2838Y,52,37831.3454
MBDLG2HB010,B2838Y,53,36944.6628
MBDLG2HB010,B2838Y,54,36086.5343
MBDLG2HB010,B2838Y,55,35244.2787
MBDLG2HB010,B2838Y,56,34419.9120
MBDLG2HB010,B2838Y,57,33613.0600
MBDLG2HB010,B2838Y,58,32822.9368
MBDLG2HB010,B2838Y,59,32044.8445
MBDLG2HB010,B2838Y,60,31274.6219
MBDLG2HB010,B2838Y,61,30466.2310
MBDLG2HB010,B2838Y,62,29692.4065
MBDLG2HB010,B2838Y,63,28894.7633
MBDLG2HB010,B2838Y,64,28138.1782
MBDLG2HB010,B2838Y,65,27397.1858
MBDLG2HB010,B2838Y,66,26831.5286
MBDLG2HB010,B2838Y,67,26178.9753
MBDLG2HB010,B2838Y,68,25743.5562
MBDLG2HB010,B2838Y,69,25448.2062
MBDLG2HB010,B2838Y,70,24746.0231
MBDLG2HB010,B2838Y,71,24062.7117
MBDLG2HB010,B2838Y,72,23389.6754
MBDLG2HB010,B2838Y,73,22725.8612
MBDLG2HB010,B2838Y,74,22108.2237
MBDLG2HB010,B2838Y,75,21522.2425
MBDLG2HB010,B2838Y,76,20968.0278
MBDLG2HB010,B2838Y,77,20463.5229
MBDLG2HB010,B2838Y,78,20086.6812
MBDLG2HB010,B2838Y,79,19809.8133
MBDLG2HB010,B2838Y,80,19675.1155
MBDLG2HB010,B2838Y,81,19602.0453
MBDLG2HB010,B2838Y,82,19596.4767
MBDLG2HB010,B2838Y,83,19669.2196
MBDLG2HB010,B2838Y,84,19590.0460
MBDLG2HB010,B2838Y,85,19025.8202
MBDLG2HB010,B2838Y,86,18646.4263
MBDLG2HB010,B2838Y,87,18209.6762
MBDLG2HB010,B2838Y,88,17809.7843
MBDLG2HB010,B2838Y,89,17430.6794
MBDLG2HB010,B2838Y,90,17067.5118
MBDLG2HB010,B2838Y,91,16716.3252
MBDLG2HB010,B2838Y,92,16373.3882
MBDLG2HB010,B2838Y,93,16035.7672
MBDLG2HB010,B2838Y,94,15703.1306
MBDLG2HB010,B2838Y,95,15386.0416
MBDLG2HB010,B2838Y,96,15115.1545
MBDLG2HB010,B2838Y,97,14846.1421
MBDLG2HB010,B2838Y,98,14533.9759
MBDLG2HB010,B2838Y,99,14230.3095
MBDLG2HB010,B2838Y,100,13928.9831
MBDLG2HB010,B2838Y,101,13627.6083
MBDLG2HB010,B2838Y,102,13376.8847
MBDLG2HB010,B2838Y,103,13174.3489
MBDLG2HB010,B2838Y,104,12946.8655
MBDLG2HB010,B2838Y,105,12837.3029
MBDLG2HB010,B2838Y,106,12766.8675
MBDLG2HB010,B2838Y,107,12432.2857
MBDLG2HB010,B2838Y,108,12136.3802
MBDLG2HB010,B2838Y,109,11870.8674
